Full_Filepath,Filepath,Filename,Extension,Alt_Data_Stream,Directory_Depth,Filename_Length,Is_Common_Extension,Contains_Double_Ext,Contains_ADS,Is_Malicious
\program files\microsoft office\root\office16\sdxs\fa000000084\fluidhost\static\js\hostuxstrings55.2e1d04d4.chunk.js,\program files\microsoft office\root\office16\sdxs\fa000000084\fluidhost\static\js,hostuxstrings55.2e1d04d4.chunk,js,,9,30,0,0,0,0
\program files\libreoffice\share\extensions\dict-es\es_pe.dic,\program files\libreoffice\share\extensions\dict-es,es_pe,dic,,5,5,0,0,0,0
\windows\servicing\packages\package_1255_for_kb4558998~31bf3856ad364e35~amd64~~10.0.1.9.cat,\windows\servicing\packages,package_1255_for_kb4558998~31bf3856ad364e35~amd64~~10.0.1.9,cat,,3,59,0,0,0,0
\program files\common files\vmware\drivers\video_wddm\vista\vm3ddevapi-release.dll,\program files\common files\vmware\drivers\video_wddm\vista,vm3ddevapi-release,dll,,6,18,1,0,0,0
\windows\syswow64\dpmodemx.dll,\windows\syswow64,dpmodemx,dll,,2,8,1,0,0,0
\program files\inkscape\share\inkscape\icons\dash\symbolic\actions\interpolate-scale-both-symbolic.svg,\program files\inkscape\share\inkscape\icons\dash\symbolic\actions,interpolate-scale-both-symbolic,svg,,8,31,0,0,0,0
\programdata\auditapp\d3d9.dll,\programdata\auditapp,d3d9,dll,,2,4,1,0,0,1
\program files\common files\microsoft shared\ink\ga-ie\tipresx.dll.mui,\program files\common files\microsoft shared\ink\ga-ie,tipresx.dll,mui,,5,11,1,1,0,0
\program files (x86)\python313-32\lib\test\test_import\data\circular_imports\subpkg\subpackage2.py,\program files (x86)\python313-32\lib\test\test_import\data\circular_imports\subpkg,subpackage2,py,,8,11,0,0,0,0
\upload5warn\css.jsp,\upload5warn,css,jsp,,1,3,0,0,0,1
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\microsoft-windows-deviceguard-gpext-onecore-package~31bf3856ad364e35~amd64~en-us~10.0.18362.1556.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},microsoft-windows-deviceguard-gpext-onecore-package~31bf3856ad364e35~amd64~en-us~10.0.18362.1556,cat,,4,96,0,0,0,0
\program files (x86)\openoffice 4\program\classes\report.jar,\program files (x86)\openoffice 4\program\classes,report,jar,,4,6,1,0,0,0
\program files (x86)\mediamonkey\dialogs\dlgvideo.js,\program files (x86)\mediamonkey\dialogs,dlgvideo,js,,3,8,0,0,0,0
\program files (x86)\python313-32\lib\idlelib\idle_test\test_config_key.py,\program files (x86)\python313-32\lib\idlelib\idle_test,test_config_key,py,,5,15,0,0,0,0
\windows\syswow64\windows.mirage.internal.dll,\windows\syswow64,windows.mirage.internal,dll,,2,23,1,0,0,0
\python27\lib\test\test_gzip.py,\python27\lib\test,test_gzip,py,,3,9,0,0,0,0
\system32\s7otbxsx.dll,\system32,s7otbxsx,dll,,1,8,1,0,0,1
\windows\winsxs\manifests\amd64_dual_wvid.inf_31bf3856ad364e35_10.0.18362.387_none_47d9221c93044f59.manifest,\windows\winsxs\manifests,amd64_dual_wvid.inf_31bf3856ad364e35_10.0.18362.387_none_47d9221c93044f59,manifest,,3,73,0,0,0,0
\program files\inkscape\share\inkscape\tutorials\tutorial-interpolate.uk.svg,\program files\inkscape\share\inkscape\tutorials,tutorial-interpolate.uk,svg,,5,23,0,0,0,0
\program files\avast software\avast\aswlog.dll,\program files\avast software\avast,aswlog,dll,,3,6,1,0,0,0
\windows\winsxs\manifests\x86_microsoft-windows-b..ager-pcat.resources_31bf3856ad364e35_10.0.17134.112_ro-ro_ebe3b81a161ae329.manifest,\windows\winsxs\manifests,x86_microsoft-windows-b..ager-pcat.resources_31bf3856ad364e35_10.0.17134.112_ro-ro_ebe3b81a161ae329,manifest,,3,99,0,0,0,0
\windows\winsxs\amd64_microsoft-windows-t..s-clientactivexcore_31bf3856ad364e35_<version>_none_18737e3c4fc3b729\mstscax.dll.mun,\windows\winsxs\amd64_microsoft-windows-t..s-clientactivexcore_31bf3856ad364e35_<version>_none_18737e3c4fc3b729,mstscax.dll,mun,,3,11,0,1,0,0
